Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645be47d8ed86f9af854801b,60fddc61782d31b27035c833,APPROVED,2023-05-10T18:37:58.604000Z,2023-05-10T18:57:22.650000Z,2023-05-10T18:57:23.416000Z,2023-05-10T18:57:23.733507Z,1165,C1ISGV6W,1940,English,24,Female,White,United States,United States,United States,English,No,Full-Time
645be4b4545999dd1ddd49a0,5e647c63c9f0751fc59aba6f,APPROVED,2023-05-10T18:38:51.807000Z,2023-05-10T19:01:12.570000Z,2023-05-10T19:01:13.926000,2023-05-10T19:01:13.812445Z,1341,C3E2LD8X,138,English,39,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be4b61a8c1051636ca5de,5c4d5328889752000156a11d,APPROVED,2023-05-10T18:47:40.948000Z,2023-05-10T19:25:11.161000Z,2023-05-10T19:25:16.949000,2023-05-10T19:25:14.896771Z,2251,CJ5RNK30,2673,English,51,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be4cc7790cc594ba2d32a,6110d72aa69d55efca97d465,APPROVED,2023-05-10T18:39:13.274000Z,2023-05-10T18:58:09.514000Z,2023-05-10T18:58:10.429000,2023-05-10T18:58:10.296337Z,1137,C3E2LD8X,657,"Armenian, English, French",23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be4db558a3746b9cb9bd6,59b2d1e1773f41000148789e,APPROVED,2023-05-10T18:39:27.362000Z,2023-05-10T18:54:32.497000Z,2023-05-10T18:54:34.841000,2023-05-10T18:54:34.687977Z,906,C1ISGV6W,1801,English,38,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
645be4f854040dacd2ce936a,5d19aa93b3e6980001ea92ab,APPROVED,2023-05-10T18:39:57.324000Z,2023-05-10T19:03:44.544000Z,2023-05-10T19:03:45.299000,2023-05-10T19:03:45.198762Z,1428,CJ5RNK30,70,English,22,Female,Asian,United States,United States,United States,Vietnamese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645be4fe949df1dcbab173fc,6388fabfdce4b259e37e9495,APPROVED,2023-05-10T18:40:16.333000Z,2023-05-10T19:07:26.639000Z,2023-05-10T19:07:27.775000,2023-05-10T19:07:27.662431Z,1631,CJ5RNK30,367,"English, Spanish",65,Female,White,United States,United States,United States,English,No,Part-Time
645be51381d10c12c7860b9f,602451f15e338c12534710d0,APPROVED,2023-05-10T18:41:41.867000Z,2023-05-10T19:05:47.526000Z,2023-05-11T16:33:15.660000,2023-05-10T19:05:49.033574Z,1446,NOCODE,1245,English,24,Female,White,United States,United States,United States,English,Yes,Part-Time
645be5549d5d08199f41cddd,63d96d5957cdd8a417721253,APPROVED,2023-05-10T18:41:37.465000Z,2023-05-10T19:02:40.929000Z,2023-05-10T19:02:42.451000,2023-05-10T19:02:42.346192Z,1264,CJ5RNK30,233,English,37,Male,White,United States,United States,United States,English,No,Full-Time
645be5852b2807bbb7834079,63effbb357025439ef9f8843,APPROVED,2023-05-10T18:42:17.809000Z,2023-05-10T19:08:15.169000Z,2023-05-10T19:08:17.877000,2023-05-10T19:08:16.101452Z,1558,C3E2LD8X,132,English,23,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
